Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
530197,Fundviser Capital (India) Ltd,Malika Jain,Promoter Group,Equity Shares,25000,0.49,Equity Shares,25000,1092188.00,Acquisition,Equity,50000,0.85,24 Apr 2025,24 Apr 2025,25 Apr 2025,Conversion of security,,,,,,,NA,26 Apr 2025
507514,Som Distilleries & Breweries Ltd,Som Distilleries Private Limited,Promoter Group,Equity Shares,18090147,8.79,Equity Shares,2000000,224000000.00,Acquisition,Equity,20090147,9.66,25 Apr 2025,25 Apr 2025,26 Apr 2025,Preferential Offer,,,,,,,NA,26 Apr 2025
507685,Wipro Ltd,Ritesh Talapatra,Designated Person,Any other instrument,0,0.00,Any other instrument,333332,80598078.00,Acquisition,-,333332,0.00,23 Apr 2025,23 Apr 2025,23 Apr 2025,ESOP,,,,,,,NA,25 Apr 2025
507685,Wipro Ltd,Vinayak Krishan,Designated Person,Any other instrument,0,0.00,Any other instrument,33332,8059518.00,Acquisition,-,33332,0.00,23 Apr 2025,23 Apr 2025,23 Apr 2025,ESOP,,,,,,,NA,25 Apr 2025
507685,Wipro Ltd,Nikos Anerousis,Designated Person,Any other instrument,20778,0.00,Any other instrument,45976,11116776.00,Acquisition,-,66754,0.00,23 Apr 2025,23 Apr 2025,23 Apr 2025,ESOP,,,,,,,NA,25 Apr 2025
507685,Wipro Ltd,Venu Pemmaraju,Connected Person,Any other instrument,0,0.00,Any other instrument,37244,9005420.00,Acquisition,-,37244,0.00,23 Apr 2025,23 Apr 2025,23 Apr 2025,ESOP,,,,,,,NA,25 Apr 2025
500520,Mahindra & Mahindra Ltd,Girish Gadgil,Designated Person,Equity Shares,15311,0.00,Equity Shares,2203,6391784.00,Acquisition,Equity,17514,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,ESOP,,,,,,,NA,25 Apr 2025
500520,Mahindra & Mahindra Ltd,Ujjwal Mukherjee,Designated Person,Equity Shares,2044,0.00,Equity Shares,400,1160560.00,Acquisition,Equity,2444,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,ESOP,,,,,,,NA,25 Apr 2025
500520,Mahindra & Mahindra Ltd,Rajashree V. Ansurkar,Designated Person,Equity Shares,5872,0.00,Equity Shares,495,1436193.00,Acquisition,Equity,6367,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,ESOP,,,,,,,NA,25 Apr 2025
500520,Mahindra & Mahindra Ltd,Binoy Paul,Designated Person,Equity Shares,1000,0.00,Equity Shares,1000,2901400.00,Acquisition,Equity,2000,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,ESOP,,,,,,,NA,25 Apr 2025
531359,Shriram Asset Management Company Ltd,Sanlam Emerging Markets Mauritius  Limited,Promoter,Equity Shares,0,0.00,Equity Shares,3888889,1050000030.00,Acquisition,Equity,3888889,23.00,23 Apr 2025,23 Apr 2025,25 Apr 2025,Preferential Offer,,,,,,,NA,25 Apr 2025
532281,HCL Technologies Ltd,HCL Technologies Stock Options Trust,Designated Person,Equity Shares,4754103,0.18,Equity Shares,7823,11656270.00,Disposal,Equity,4746280,0.18,22 Apr 2025,22 Apr 2025,24 Apr 2025,ESOS,,,,,,,NA,25 Apr 2025
526415,OK Play India Ltd,RAJAN HANDA,Promoter & Director,Equity Shares,85868620,23.99,Equity Shares,4000000,48680000.00,Pledge,Equity,85868620,23.99,22 Apr 2025,23 Apr 2025,24 Apr 2025,Creation Of Pledge,,,,,,,BSE,25 Apr 2025
523704,Mastek Ltd,Chinmay Ashank Desai,Promoter Group,Equity Shares,68100,0.22,Equity Shares,1750,3937825.00,Disposal,Equity,66350,0.21,23 Apr 2025,23 Apr 2025,24 Apr 2025,Market Sale,,,,,,,NSE,25 Apr 2025
532832,Embassy Developments Ltd,JV Holding Private Limited,Promoter,Equity Shares,243200930,19.89,Equity Shares,50000000,100000000.00,Pledge,Equity,243200930,19.89,24 Apr 2025,24 Apr 2025,25 Apr 2025,Creation Of Pledge,,,,,,,NA,25 Apr 2025
532859,Hinduja Global Solutions Ltd,Hinduja Group Ltd.,Promoter,Equity Shares,12962646,27.86,Equity Shares,4607000,2384813550.00,Revoke,Equity,17569646,37.77,23 Apr 2025,23 Apr 2025,25 Apr 2025,Pledge Released,,,,,,,NA,25 Apr 2025
532927,eClerx Services Ltd,Eclerx Employee Welfare Trust,Trust,Equity Shares,683194,1.43,Equity Shares,2000,550700.00,Disposal,Equity,681194,1.43,23 Apr 2025,23 Apr 2025,24 Apr 2025,Off Market,,,,,,,NA,25 Apr 2025
532927,eClerx Services Ltd,Eclerx Employee Welfare Trust,Trust,Equity Shares,681194,1.43,Equity Shares,3000,826050.00,Disposal,Equity,678194,1.42,23 Apr 2025,23 Apr 2025,24 Apr 2025,Off Market,,,,,,,NA,25 Apr 2025
532927,eClerx Services Ltd,Eclerx Employee Welfare Trust,Trust,Equity Shares,678194,1.42,Equity Shares,1000,275350.00,Disposal,Equity,677194,1.42,23 Apr 2025,23 Apr 2025,24 Apr 2025,Off Market,,,,,,,NA,25 Apr 2025
532927,eClerx Services Ltd,Eclerx Employee Welfare Trust,Trust,Equity Shares,677194,1.42,Equity Shares,500,716650.00,Disposal,Equity,676694,1.42,23 Apr 2025,23 Apr 2025,24 Apr 2025,Off Market,,,,,,,NA,25 Apr 2025
539659,Vikram Kamats Hospitality Ltd,Vikram Vithal Kamat,Promoter & Director,Equity Shares,1190000,7.85,Equity Shares,86541,6404034.00,Acquisition,Equity,1276541,8.37,25 Apr 2025,25 Apr 2025,25 Apr 2025,Allotment,,,,,,,BSE,25 Apr 2025
543940,Jio Financial Services Ltd,Anuradha Sethuraman,Immediate Relative,Equity Shares,160166,0.00,Equity Shares,20000,4980000.00,Acquisition,Equity,180166,0.00,21 Apr 2025,21 Apr 2025,23 Apr 2025,Market Purchase,,,,,,,BSE,25 Apr 2025
543397,Sapphire Foods India Ltd,JOHN CHELLIAH,Designated Person,Equity Shares,22475,0.01,Equity Shares,22475,7239198.00,Pledge,Equity,22475,0.01,22 Apr 2025,22 Apr 2025,23 Apr 2025,Creation Of Pledge,,,,,,,NA,24 Apr 2025
543397,Sapphire Foods India Ltd,SANTOSH PHARTALE,Designated Person,Equity Shares,550,0.00,Equity Shares,4235,461124.00,Acquisition,Equity,4785,0.00,07 Apr 2025,07 Apr 2025,23 Apr 2025,ESOP,,,,,,,NA,24 Apr 2025
543397,Sapphire Foods India Ltd,SANTOSH PHARTALE,Designated Person,Equity Shares,4785,0.00,Equity Shares,4235,1364094.00,Pledge,Equity,4785,0.00,22 Apr 2025,22 Apr 2025,23 Apr 2025,Creation Of Pledge,,,,,,,NA,24 Apr 2025
524636,Oxygenta Pharmaceutical Ltd,Sai Sudhakar Vankineni,Promoter & Director,Equity Shares,230000,0.62,Equity Shares,200000,4200000.00,Disposal,Equity,30000,0.08,17 Apr 2025,17 Apr 2025,19 Apr 2025,Others,,,,,,,NA,24 Apr 2025
524636,Oxygenta Pharmaceutical Ltd,Snigdha Vankineni,Promoter,Equity Shares,1143000,3.09,Equity Shares,600000,12600000.00,Disposal,Equity,543000,1.47,17 Apr 2025,17 Apr 2025,19 Apr 2025,Others,,,,,,,NA,24 Apr 2025
524636,Oxygenta Pharmaceutical Ltd,SRAVANI REDDY GANTLA,Director,Equity Shares,4487000,12.13,Equity Shares,1979340,41566140.00,Disposal,Equity,2507660,6.78,16 Apr 2024,16 Apr 2024,19 Apr 2025,Others,,,,,,,NA,24 Apr 2025
524636,Oxygenta Pharmaceutical Ltd,VIRUPAKSHA ORGANICS LIMITED,Promoter,Equity Shares,218,0.00,Equity Shares,2779340,58366140.00,Acquisition,Equity,2779558,7.51,17 Apr 2025,17 Apr 2025,19 Apr 2025,Others,,,,,,,NA,24 Apr 2025
526666,Bhartiya International Ltd,Urbanac Projects Private Limited,Promoter Group,Equity Shares,0,0.00,Equity Shares,775000,333250000.00,Acquisition,Equity,775000,5.97,19 Mar 2025,19 Mar 2025,24 Apr 2025,Conversion of security,,,,,,,NA,24 Apr 2025
500520,Mahindra & Mahindra Ltd,N K Deshmukh,Designated Person,Equity Shares,14020,0.00,Equity Shares,1238,3591933.00,Acquisition,Equity,15258,0.00,24 Apr 2025,24 Apr 2025,24 Apr 2025,ESOP,,,,,,,NA,24 Apr 2025
500520,Mahindra & Mahindra Ltd,Mahindra & Mahindra Employees’ Stock Option Trust,Trust,Equity Shares,42745042,3.44,Equity Shares,38922,193820.00,Disposal,Equity,42706120,3.43,24 Apr 2025,24 Apr 2025,24 Apr 2025,ESOP,,,,,,,NA,24 Apr 2025
500520,Mahindra & Mahindra Ltd,Rajesh Jejurikar,Director,Equity Shares,130138,0.01,Equity Shares,19154,55573416.00,Acquisition,Equity,149292,0.01,24 Apr 2025,24 Apr 2025,24 Apr 2025,ESOP,,,,,,,NA,24 Apr 2025
532221,Sonata Software Ltd,Srikar Reddy,KMP,Equity Shares,3177098,1.13,Equity Shares,53333,4121041.00,Acquisition,Equity,3230431,1.15,21 Apr 2025,21 Apr 2025,22 Apr 2025,ESOP,,,,,,,NSE,23 Apr 2025
532807,Cineline India Ltd,Ashish Benefit Trust,Promoter Group,Equity Shares,3068800,8.96,Equity Shares,187500,18133125.00,Revoke,Equity,3068800,8.96,16 Apr 2025,16 Apr 2025,21 Apr 2025,Pledge Released,,,,,,,NA,23 Apr 2025
532807,Cineline India Ltd,Vrutuant Benefit Trust,Promoter Group,Equity Shares,3068800,8.96,Equity Shares,187500,18133125.00,Revoke,Equity,3068800,8.96,16 Apr 2025,16 Apr 2025,21 Apr 2025,Pledge Released,,,,,,,NA,23 Apr 2025
532807,Cineline India Ltd,Rupal Kanakia Trust,Promoter Group,Equity Shares,3068800,8.96,Equity Shares,900000,91575000.00,Invoke,Equity,3068800,8.96,16 Apr 2025,16 Apr 2025,21 Apr 2025,Pledge Released,,,,,,,NA,22 Apr 2025
531431,Shakti Pumps India Ltd-$,SEEMA PATIDAR Revised ,Promoter,Equity Shares,564000,0.47,Equity Shares,996,928920.00,Acquisition,Equity,564996,0.47,10 Mar 2025,10 Mar 2025,22 Apr 2025,Market Purchase,,,,,,,NSE,22 Apr 2025
530627,Vipul Organics Ltd,VIPUL P SHAH,Promoter & Director,Equity Shares,312500,2.35,Equity Shares,104166,46.00,Acquisition,Equity,416666,2.35,08 Apr 2025,08 Apr 2025,17 Apr 2025,Public Right,,,,,,,BSE,22 Apr 2025
530627,Vipul Organics Ltd,VIPUL PRAVINCHANDRA SHAH,Promoter & Director,Equity Shares,3451800,25.93,Equity Shares,1250600,46.00,Acquisition,Equity,4702400,26.49,08 Apr 2025,08 Apr 2025,17 Apr 2025,Public Right,,,,,,,BSE,22 Apr 2025
530627,Vipul Organics Ltd,KAVITA JAVADSHA VARAIYA,Promoter Group,Equity Shares,86250,0.65,Equity Shares,35000,46.00,Acquisition,Equity,121250,0.68,08 Apr 2025,08 Apr 2025,17 Apr 2025,Public Right,,,,,,,BSE,22 Apr 2025
530627,Vipul Organics Ltd,MITA VIPUL SHAH,Promoter Group,Equity Shares,915625,6.88,Equity Shares,305208,46.00,Acquisition,Equity,1220833,6.88,08 Apr 2025,08 Apr 2025,17 Apr 2025,Public Right,,,,,,,BSE,22 Apr 2025
530627,Vipul Organics Ltd,MIHIR VIPUL SHAH,Promoter & Director,Equity Shares,2328250,17.50,Equity Shares,826500,46.00,Acquisition,Equity,3154750,17.77,08 Apr 2025,08 Apr 2025,17 Apr 2025,Public Right,,,,,,,BSE,22 Apr 2025
530627,Vipul Organics Ltd,VATSAL VIPUL SHAH,Promoter Group,Equity Shares,1829250,13.74,Equity Shares,609750,46.00,Acquisition,Equity,2439000,13.74,08 Apr 2025,08 Apr 2025,17 Apr 2025,Public Right,,,,,,,BSE,22 Apr 2025
530627,Vipul Organics Ltd,NILONI MIHIR SHAH,Promoter Group,Equity Shares,96250,0.72,Equity Shares,32608,46.00,Acquisition,Equity,128858,0.73,08 Apr 2025,08 Apr 2025,17 Apr 2025,Public Right,,,,,,,BSE,22 Apr 2025
543262,MRP Agro Ltd,Raksha Jain,Promoter,Equity Shares,2611600,23.52,Equity Shares,20000,2584000.00,Acquisition,Equity,2631600,23.69,21 Apr 2025,21 Apr 2025,21 Apr 2025,Market Purchase,,,,,,,BSE,22 Apr 2025
543652,Fusion Finance Ltd,Devesh Sachdev,Promoter,Any other instrument,594506,0.97,Any other instrument,23510,369107.00,Disposal,-,570996,0.00,21 Apr 2025,21 Apr 2025,21 Apr 2025,Others,,,,,,,BSE,22 Apr 2025
543652,Fusion Finance Ltd,Gaurav Maheshwari,KMP,Any other instrument,89311,0.00,Any other instrument,89311,1204886.00,Disposal,-,0,0.00,17 Apr 2025,21 Apr 2025,21 Apr 2025,Others,,,,,,,NSE,22 Apr 2025
543652,Fusion Finance Ltd,Deepak Madaan,KMP,Any other instrument,75925,0.00,Any other instrument,75321,1086024.00,Disposal,-,604,0.00,21 Apr 2025,21 Apr 2025,21 Apr 2025,Others,,,,,,,NSE,22 Apr 2025
543652,Fusion Finance Ltd,Mini Sachdev,Promoter Group,Any other instrument,126620,2.07,Any other instrument,126620,2005661.00,Disposal,-,0,0.00,21 Apr 2025,21 Apr 2025,21 Apr 2025,Others,,,,,,,NSE,22 Apr 2025
543652,Fusion Finance Ltd,Devesh Sachdev,Promoter,Any other instrument,570996,0.00,Any other instrument,570996,8559230.00,Disposal,-,0,0.00,21 Apr 2025,21 Apr 2025,21 Apr 2025,Others,,,,,,,NSE,22 Apr 2025
537259,Suyog Telematics Ltd,SHIVSHANKAR GURUSHANTAPPA LATURE,Promoter & Director,Equity Shares,5309286,47.69,Equity Shares,35088,20000160.00,Acquisition,Equity,5344374,47.86,15 Apr 2025,15 Apr 2025,17 Apr 2025,Preferential Offer,,,,,,,NA,22 Apr 2025
543401,Go Fashion (India) Ltd,GAUTAM SARAOGI,Promoter & Director,Equity Shares,9932320,18.39,Equity Shares,272600,200551820.00,Revoke,Equity,9932320,18.39,19 Apr 2025,19 Apr 2025,21 Apr 2025,Pledge Released,,,,,,,NA,21 Apr 2025
532807,Cineline India Ltd,Hiral Kanakia Trust,Promoter,Equity Shares,3068800,8.96,Equity Shares,900000,91575000.00,Invoke,Equity,3068800,8.96,15 Apr 2025,15 Apr 2025,17 Apr 2025,Pledge Released,,,,,,,NA,21 Apr 2025
514330,One Global Service Provider Ltd,Vijay Nanaji Dhawangale,Promoter,Equity Shares,1051021,14.79,Equity Shares,1027332,371791451.00,Disposal,Equity,23689,0.33,26 Mar 2025,26 Mar 2025,14 Apr 2025,Gift,,,,,,,BSE,21 Apr 2025
502168,NCL Industries Ltd-$,Kakatiya Industries P  Ltd,Promoter Group,Equity Shares,64408,0.14,Equity Shares,1606,300322.00,Acquisition,Equity,66014,0.15,27 Mar 2025,27 Mar 2025,21 Apr 2025,Market Purchase,,,,,,,NSE,21 Apr 2025
511116,Quadrant Televentures Ltd-$,QUADRANT ENTERPRISES PRIVATE LIMITED,Promoter,Equity Shares,52085387,8.51,Equity Shares,52085387,9.00,Invoke,Equity,0,0.00,07 Apr 2025,07 Apr 2025,21 Apr 2025,Invocation Of Pledged,,,,,,,NA,21 Apr 2025
543652,Fusion Finance Ltd,Devesh Sachdev,Promoter,Any other instrument,2986506,4.89,Any other instrument,2392000,19468000.00,Disposal,-,594506,0.97,16 Apr 2025,17 Apr 2025,17 Apr 2025,Others,,,,,,,NSE,20 Apr 2025
543652,Fusion Finance Ltd,Creation Investments Fusion LLC,Promoter,Any other instrument,6061918,9.93,Any other instrument,1997402,15979216.00,Disposal,-,4064516,6.66,17 Apr 2025,17 Apr 2025,17 Apr 2025,Others,,,,,,,BSE,20 Apr 2025
543652,Fusion Finance Ltd,Creation Investments Fusion II LLC,Promoter,Any other instrument,6016473,9.85,Any other instrument,2797660,22384078.00,Disposal,-,3218813,5.27,17 Apr 2025,17 Apr 2025,17 Apr 2025,Others,,,,,,,BSE,20 Apr 2025
537292,Agri- Tech (India) Ltd,TINGLI FINVEST PRIVATE LIMITED,Promoter Group,Equity Shares,15409,0.26,Equity Shares,7066,951714.00,Disposal,Equity,8343,0.14,04 Mar 2025,05 Mar 2025,19 Apr 2025,Market Sale,,,,,,,NSE,19 Apr 2025
537292,Agri- Tech (India) Ltd,BARKHA FARMS LLP,Promoter Group,Equity Shares,647000,10.89,Equity Shares,4875,983610.00,Disposal,Equity,642125,10.81,04 Feb 2025,05 Feb 2025,19 Apr 2025,Market Sale,,,,,,,NSE,19 Apr 2025
514274,Aarvee Denims & Exports Ltd,Jaimin Kailash Gupta,Designated Person,Equity Shares,8660990,36.92,Equity Shares,151571,3805948.00,Acquisition,Equity,8812561,37.56,11 Apr 2025,11 Apr 2025,17 Apr 2025,Off Market,,,,,,,NA,19 Apr 2025
526095,Ravileela Granites Ltd,PARVATHA SAMANTHA REDDY,Promoter & Director,Equity Shares,275000,2.60,Equity Shares,124064,0.00,Acquisition,Equity,399064,3.77,13 Mar 2025,13 Mar 2025,17 Apr 2025,Gift,,,,,,,BSE,19 Apr 2025
512026,Vega Jewellers Ltd,Naveen Kumar Vanama,Promoter & Director,Warrants,3200625,67.09,Warrants,1600000,10.00,Disposal,Warrants,1600625,33.55,10 Apr 2025,10 Apr 2025,16 Apr 2025,Conversion of security,,,,,,,NA,18 Apr 2025
512026,Vega Jewellers Ltd,Naveen Kumar Vanama,Promoter & Director,Equity Shares,169450,35.30,Equity Shares,1600000,10.00,Acquisition,Equity,1769450,37.09,10 Apr 2025,10 Apr 2025,16 Apr 2025,Conversion of security,,,,,,,NA,18 Apr 2025
512026,Vega Jewellers Ltd,Sudhakar Vanama,Promoter & Director,Warrants,3200625,67.09,Warrants,1600000,10.00,Disposal,Warrants,1600625,33.55,10 Apr 2025,10 Apr 2025,16 Apr 2025,Conversion of security,,,,,,,NA,18 Apr 2025
512026,Vega Jewellers Ltd,Sudhakar Vanama,Promoter & Director,Equity Shares,169450,35.30,Equity Shares,1600000,10.00,Acquisition,Equity,1769450,37.09,10 Apr 2025,10 Apr 2025,16 Apr 2025,Conversion of security,,,,,,,NA,18 Apr 2025
512026,Vega Jewellers Ltd,Rama Mohana Rao Bandlamudi,Director,Warrants,229300,4.80,Warrants,229300,10.00,Disposal,Warrants,0,0.00,10 Apr 2025,10 Apr 2025,16 Apr 2025,Conversion of security,,,,,,,NA,18 Apr 2025
512026,Vega Jewellers Ltd,Rama Mohana Rao Bandlamudi,Director,Equity Shares,10700,2.22,Equity Shares,229300,10.00,Acquisition,Equity,240000,5.03,10 Apr 2025,10 Apr 2025,16 Apr 2025,Conversion of security,,,,,,,NA,18 Apr 2025
503031,Peninsula Land Ltd,DELTA CORP LIMITED,Promoter Group,Equity Shares,15048000,4.64,Equity Shares,7727000,339988000.00,Acquisition,Equity,22775000,6.87,16 Apr 2025,16 Apr 2025,17 Apr 2025,Conversion of security,,,,,,,NA,18 Apr 2025
503031,Peninsula Land Ltd,DELTA CORP LIMITED Revised ,Promoter Group,Equity Shares,15048000,4.64,Equity Shares,7727000,339988000.00,Acquisition,Equity,22775000,6.87,16 Apr 2025,16 Apr 2025,17 Apr 2025,Off Market,,,,,,,NA,18 Apr 2025
544354,Solarium Green Energy Ltd,NIKHIL BANSAL,Directors Immediate Relative,Equity Shares,254733,1.22,Equity Shares,25800,6210203.00,Acquisition,Equity,280533,1.35,12 Mar 2025,13 Mar 2025,17 Apr 2025,Market Purchase,,,,,,,BSE,18 Apr 2025
544354,Solarium Green Energy Ltd,NIKHIL BANSAL,Directors Immediate Relative,Equity Shares,280533,1.35,Equity Shares,600,141750.00,Disposal,Equity,279933,1.34,13 Mar 2025,13 Mar 2025,17 Apr 2025,Market Sale,,,,,,,BSE,18 Apr 2025
544354,Solarium Green Energy Ltd,NIKHIL BANSAL,Directors Immediate Relative,Equity Shares,279933,1.34,Equity Shares,5400,1320150.00,Disposal,Equity,274533,1.32,17 Mar 2025,19 Mar 2025,17 Apr 2025,Market Sale,,,,,,,BSE,18 Apr 2025
544354,Solarium Green Energy Ltd,NIKHIL BANSAL,Directors Immediate Relative,Equity Shares,274533,1.32,Equity Shares,1800,438630.00,Acquisition,Equity,276333,1.33,19 Mar 2025,19 Mar 2025,17 Apr 2025,Market Purchase,,,,,,,BSE,18 Apr 2025
544354,Solarium Green Energy Ltd,NIKHIL BANSAL,Directors Immediate Relative,Equity Shares,276333,1.32,Equity Shares,1200,297030.00,Disposal,Equity,275133,1.32,24 Mar 2025,24 Mar 2025,17 Apr 2025,Market Sale,,,,,,,BSE,18 Apr 2025
544354,Solarium Green Energy Ltd,NIKHIL BANSAL,Directors Immediate Relative,Equity Shares,275133,1.32,Equity Shares,6000,1429458.00,Acquisition,Equity,281133,1.35,25 Mar 2025,27 Mar 2025,17 Apr 2025,Market Purchase,,,,,,,BSE,18 Apr 2025
540809,MRC Agrotech Ltd,Shweta Singh,Other,Equity Shares,2730382,13.33,Equity Shares,57647,694931.00,Disposal,Equity,2672735,13.05,11 Apr 2025,16 Apr 2025,17 Apr 2025,Market Sale,,,,,,,BSE,17 Apr 2025
507315,Sakthi Sugars Ltd,ABT Investments India  Private Limited,Promoter Group,Equity Shares,66473540,55.93,Equity Shares,4285714,93299994.00,Pledge,Equity,66473540,55.93,15 Apr 2025,15 Apr 2025,16 Apr 2025,Creation Of Pledge,,,,,,,NA,17 Apr 2025
532777,Info Edge (India) Ltd,Info Edge Employees Stock Option Plan Trust,Trust,Equity Shares,149807,0.12,Equity Shares,62,620.00,Disposal,Equity,149745,0.12,16 Apr 2025,16 Apr 2025,17 Apr 2025,ESOP,,,,,,,NA,17 Apr 2025
532221,Sonata Software Ltd,Samir Dhir,KMP,Equity Shares,0,0.00,Equity Shares,44000,12960200.00,Acquisition,Equity,44000,0.02,11 Apr 2025,11 Apr 2025,15 Apr 2025,ESOP,,,,,,,NSE,17 Apr 2025
532777,Info Edge (India) Ltd,Info Edge Employees Stock Option Plan Trust,Trust,Equity Shares,149869,0.12,Equity Shares,62,620.00,Disposal,Equity,149807,0.12,15 Apr 2025,15 Apr 2025,16 Apr 2025,ESOP,,,,,,,NA,16 Apr 2025
514274,Aarvee Denims & Exports Ltd,Jaimin Kailash Gupta,Designated Person,Equity Shares,7851248,33.47,Equity Shares,809742,20332622.00,Acquisition,Equity,8660990,36.92,09 Apr 2025,09 Apr 2025,15 Apr 2025,Off Market,,,,,,,NA,16 Apr 2025
540824,Astron Paper & Board Mill Ltd,HARESH AMBALAL PATEL,Promoter Group,Equity Shares,1000,0.00,Equity Shares,1000,0.00,Disposal,Equity,0,0.00,18 Nov 2024,18 Nov 2024,16 Apr 2025,Market Sale,,,,,,,BSE,16 Apr 2025
540716,ICICI Lombard General Insurance Company Ltd,Vasundhara Bhonsle,Connected Person,Equity Shares,0,0.00,Equity Shares,32276,43010201.00,Acquisition,Equity,32276,0.00,28 Mar 2025,28 Mar 2025,14 Apr 2025,ESOP,,,,,,,NA,16 Apr 2025
540716,ICICI Lombard General Insurance Company Ltd,Vasundhara Bhonsle,Connected Person,Equity Shares,32276,0.00,Equity Shares,32276,59061852.00,Disposal,Equity,0,0.00,03 Apr 2025,03 Apr 2025,14 Apr 2025,Market Sale,,,,,,,BSE,16 Apr 2025
539046,Manaksia Coated Metals & Industries Ltd,SHAILAJA AGARWAL,Promoter Group,Equity Shares,3647810,4.59,Equity Shares,1350000,24300000.00,Acquisition,Equity,4997810,5.53,10 Apr 2025,10 Apr 2025,14 Apr 2025,Conversion of security,,,,,,,NA,16 Apr 2025
539046,Manaksia Coated Metals & Industries Ltd,KARAN AGARWAL,Promoter Group,Equity Shares,3622185,4.56,Equity Shares,2975000,53550000.00,Acquisition,Equity,6597185,7.30,10 Apr 2025,10 Apr 2025,14 Apr 2025,Conversion of security,,,,,,,NA,16 Apr 2025
539046,Manaksia Coated Metals & Industries Ltd,TUSHAR AGARWAL,Promoter Group,Equity Shares,3697190,4.65,Equity Shares,2275000,40950000.00,Acquisition,Equity,5972190,6.61,10 Apr 2025,10 Apr 2025,14 Apr 2025,Conversion of security,,,,,,,NA,16 Apr 2025
544261,Arkade Developers Ltd,Ketu Amit Jain Revised ,Promoter Group,Equity Shares,22040,0.01,Equity Shares,2660000,0.00,Acquisition,Equity,2682040,1.44,15 Apr 2025,15 Apr 2025,15 Apr 2025,Inter-se Transfer,,,,,,,NA,16 Apr 2025
544261,Arkade Developers Ltd,Sajjan Mangila Jain,Promoter Group,Equity Shares,2660000,1.43,Equity Shares,2660000,0.00,Disposal,Equity,0,0.00,15 Apr 2025,15 Apr 2025,15 Apr 2025,Inter-se Transfer,,,,,,,NA,16 Apr 2025
544261,Arkade Developers Ltd,Ketu Amit Jain,Promoter Group,Equity Shares,22040,0.01,Equity Shares,2660000,1.00,Acquisition,Equity,2682040,1.44,15 Apr 2025,15 Apr 2025,15 Apr 2025,Inter-se Transfer,,,,,,,NA,16 Apr 2025
543766,Ashika Credit Capital Ltd,NIDHI JAIN,Immediate Relative,Equity Shares,0,0.00,Equity Shares,6500,1491750.00,Acquisition,Equity,6500,0.02,10 Apr 2025,10 Apr 2025,14 Apr 2025,Conversion of security,,,,,,,NA,16 Apr 2025
543324,Gretex Corporate Services Ltd,Bonanza Agency LLP,Promoter,Equity Shares,5437305,45.63,Equity Shares,4893574,0.00,Acquisition,Equity,10330879,45.63,11 Apr 2025,11 Apr 2025,14 Apr 2025,Bonus,,,,,,,BSE,16 Apr 2025
